timestamp,wind_direction,wind_speed,temperature,rainfall,humidity
2025-04-08 05:00:00,344.364,4.35735,24.9392,0.0,98.2539
2025-04-08 06:00:00,355.5,1.68281,25.0241,0.0,98.3195
2025-04-08 07:00:00,68.3739,1.71236,25.2675,0.0,97.6064
2025-04-08 08:00:00,135.269,1.09182,25.5725,0.2,95.558
2025-04-08 09:00:00,59.7603,2.44551,25.4614,0.0,98.1256
2025-04-08 10:00:00,56.5393,2.14931,26.0746,0.0,98.1259
2025-04-08 11:00:00,102.757,2.08434,26.9749,0.0,93.2823
2025-04-08 12:00:00,77.1082,4.97179,27.7012,0.0,89.9602
2025-04-08 13:00:00,77.9326,5.76019,28.168,0.0,84.7769
2025-04-08 14:00:00,74.2156,4.79804,28.7396,0.0,80.3959
2025-04-08 15:00:00,74.8004,5.33309,28.9348,0.0,78.1637
2025-04-08 16:00:00,73.7448,4.62232,29.1208,0.0,75.3293
2025-04-08 17:00:00,98.3988,2.80468,28.9433,0.0,76.2109
2025-04-08 18:00:00,111.452,3.02456,28.837,0.0,77.9314
2025-04-08 19:00:00,96.0088,2.48391,28.1627,0.0,83.5034
2025-04-08 20:00:00,112.074,3.43527,27.6391,0.0,86.1031
2025-04-08 21:00:00,113.029,2.97369,27.1847,0.0,89.0934
2025-04-08 22:00:00,66.736,1.97082,26.824,0.0,90.0645
2025-04-08 23:00:00,62.7397,3.00868,26.4328,0.0,92.6807
2025-04-09 00:00:00,77.3732,3.34383,26.5186,0.0,91.3328
2025-04-09 01:00:00,76.3929,3.19361,26.2071,0.0,93.1089
2025-04-09 02:00:00,83.1412,2.76302,26.2835,0.0,93.3898
2025-04-09 03:00:00,79.5754,2.13484,26.1362,0.0,93.5873
2025-04-09 04:00:00,67.856,3.21436,25.893,0.0,94.7499
2025-04-09 05:00:00,91.3594,1.9084,25.9182,0.0,94.6334
2025-04-09 06:00:00,95.0312,2.07421,25.9126,0.0,94.7338
2025-04-09 07:00:00,75.4163,3.02723,25.6665,0.0,95.9878
2025-04-09 08:00:00,77.3459,3.30621,26.1612,0.0,93.0591
2025-04-09 09:00:00,76.0002,3.77661,27.5588,0.0,86.2283
2025-04-09 10:00:00,59.0974,4.94068,29.4129,0.0,76.1881
2025-04-09 11:00:00,82.3682,2.30716,30.3815,0.0,70.3208
2025-04-09 12:00:00,140.166,3.27674,31.0737,0.0,66.4396
