datetime,location,latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,temperature_nearest_station,rainfall_nearest_value,rainfall_nearest_distance,rainfall_nearest_station,humidity_nearest_value,humidity_nearest_distance,humidity_nearest_station,wind_direction_nearest_value,wind_direction_nearest_distance,wind_direction_nearest_station,wind_speed_nearest_value,wind_speed_nearest_distance,wind_speed_nearest_station
2025-03-20T13:50:00,Mountbatten Road/Jalan Seaview,1.3521,103.8198,1,22.5,4.956061241628442,Scotts Road,4.4,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,290.0,4.956061241628442,Scotts Road,4.0,4.956061241628442,Scotts Road
2025-03-20T13:40:00,ECP (towards Changi Airport) after Bayshore Rd Exit,1.3644,103.9915,1,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,303.0,6.389438292874045,Pulau Ubin,2.0,6.389438292874045,Pulau Ubin
2025-03-20T10:20:00,ECP (towards Changi Airport) at Tanah Merah Coast Road Entrance,1.3644,103.9915,1,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,283.0,6.389438292874045,Pulau Ubin,3.3,6.389438292874045,Pulau Ubin
2025-03-20T07:40:00,PIE (towards Changi Airport) after TPE,1.3644,103.9915,1,23.6,1.0594151082112884,Upper Changi Road North,0.2,1.0594151082112884,Upper Changi Road North,97.6,1.0594151082112884,Upper Changi Road North,230.0,6.389438292874045,Pulau Ubin,1.9,6.389438292874045,Pulau Ubin
2025-03-19T14:45:00,Mountbatten Road / Jalan Seaview,1.3521,103.8198,1,23.5,4.956061241628442,Scotts Road,0.6,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,335.0,4.956061241628442,Scotts Road,3.4,4.956061241628442,Scotts Road
2025-03-08T15:20:00,Lor Buangkok (near Kampung Buangkok),1.3713971,103.8782465,1,25.2,3.6414557762314836,Kim Chuan Road,0.402,0.97142612572886,Yio Chu Kang Road,92.3,3.6414557762314836,Kim Chuan Road,45.0,3.6414557762314836,Kim Chuan Road,5.7,3.6414557762314836,Kim Chuan Road
2025-03-08T15:20:00,"Sim Ave East (towards New Upper Changi Rd), from Lengkong Tiga to Jln Kembangan",1.3644,103.9915,1,30.4,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,66.8,1.0594151082112884,Upper Changi Road North,44.0,6.389438292874045,Pulau Ubin,4.8,6.389438292874045,Pulau Ubin
2025-03-08T15:10:00,Aljunied Rd under PIE Flyover,1.3521,103.8198,1,24.8,4.956061241628442,Scotts Road,0.0,1.9143082025139122,Lornie Road,97.4,4.956061241628442,Scotts Road,31.0,4.956061241628442,Scotts Road,2.3,4.956061241628442,Scotts Road
2025-02-17T16:30:00,Braddell Road (towards Bartley) after Toa Payoh,1.334,103.8471,1,24.6,2.848715578972751,Scotts Road,3.0,0.9697592779814542,Toa Payoh North,99.0,2.848715578972751,Scotts Road,41.0,2.848715578972751,Scotts Road,3.8,2.848715578972751,Scotts Road
2025-02-17T15:56:00,Lor Gambir,1.3521,103.8198,1,25.4,4.956061241628442,Scotts Road,4.4,1.9143082025139122,Lornie Road,94.4,4.956061241628442,Scotts Road,35.0,4.956061241628442,Scotts Road,2.8,4.956061241628442,Scotts Road
2025-02-15T16:20:00,Happy Ave North,1.3312203,103.8818124,1,25.8,1.1684024779145619,Kim Chuan Road,11.571,0.8814497886855184,Geylang East Central,92.9,1.1684024779145619,Kim Chuan Road,289.0,1.1684024779145619,Kim Chuan Road,8.7,1.1684024779145619,Kim Chuan Road
2025-02-15T16:08:00,Wan Tho Ave (Pheng Geck Ave),1.332778,103.8746238,1,25.9,1.6644592100984663,Kim Chuan Road,4.8,1.6644592100984663,Kim Chuan Road,89.8,1.6644592100984663,Kim Chuan Road,298.0,1.6644592100984663,Kim Chuan Road,9.10001,1.6644592100984663,Kim Chuan Road
